Chemical,Model,Mean_R2,Std_R2,Mean_RMSE,Std_RMSE
TKV,lasso,0.6335477659044306,0.1324337568613212,0.5669564711498831,0.12731404530075502
TKV,ridge,0.46083635320833005,0.32788362228815254,0.6556937836835501,0.16227068617680201
TKV,svr,0.43939438822825705,0.23296532347774687,0.6927688258337144,0.16054434294376074
TKV,randomforest,0.429969879891342,0.2921557177753644,0.7366476449968244,0.15115271226702104
Starch content,lasso,0.20934234069587312,0.4626948847750793,0.8025815697001845,0.2113020072551302
Starch content,ridge,0.19288171502403756,0.3180261349789938,0.821967250879624,0.19133090396071054
Starch content,svr,0.13064064470253106,0.26828811976981315,0.8729005381104731,0.2365542617531097
Starch content,randomforest,0.19020951378393328,0.3027147352967031,0.8842031963444867,0.22517262269693725
Cristilinity,lasso,-0.14800637009412224,0.20200034342227483,0.9983849535905879,0.1512727770885796
Cristilinity,ridge,-0.5884498331427709,0.9206531042055074,1.063848915311254,0.23552242492787823
Cristilinity,svr,-0.4356830136035016,0.670052833115342,1.0685491817939705,0.17812011286138718
Cristilinity,randomforest,-0.13779474805118158,0.3447119569746218,1.0182759889268072,0.17397479331225205
Protein content,lasso,-0.1884133608211977,0.2284944376063186,1.1193882886194357,0.22484357876804006
Protein content,ridge,-0.21008552888675802,0.2747073440531881,1.0889398874750484,0.23079121083619433
Protein content,svr,-0.15824669786163442,0.3258426115802576,1.0183751349139913,0.251836609780324
Protein content,randomforest,-0.3595897474530788,0.5669719807586124,1.00184902725184,0.20478326304060523
Other components,lasso,0.2937532485931136,0.32084309057589144,0.839914510429083,0.17230123617383994
Other components,ridge,0.18871253641006205,0.4059622119429065,0.8034311098818228,0.21145383273465915
Other components,svr,0.06876663164053438,0.3549395713037811,0.9345469439415665,0.21186372331462264
Other components,randomforest,-0.2599599634196021,0.9662384176924171,0.9509756320250015,0.18803328767801858
Isoelectic point,lasso,-0.16889158274703736,0.2107377225007867,1.0462530230554727,0.15198932193901196
Isoelectic point,ridge,-0.44675941534838104,0.39093099611161797,1.0057433751416407,0.15916185107967595
Isoelectic point,svr,-0.295633672381853,0.2724936938534318,1.0513320295476927,0.11122005900892698
Isoelectic point,randomforest,-0.609582323620581,0.3164129415340913,1.189401559134486,0.14064473898226845
pH3,lasso,-0.23190090639256286,0.19468256546909704,1.0092234833183518,0.19082747380487794
pH3,ridge,-0.43998242828862166,0.6024965998473832,1.1309726492819467,0.18937347674606653
pH3,svr,-0.28286528659438825,0.3254893377302846,1.1193144230494974,0.14331938144897827
pH3,randomforest,-0.44078723350044413,0.371618152956255,1.118800182710895,0.18093589702927784
pH4,lasso,-0.32996353489734914,0.32651281449477293,1.0732542183847915,0.2143409570352491
pH4,ridge,-0.4439161579718351,0.6524890388482719,1.059692232062998,0.1661424129342243
pH4,svr,-0.18911261290355802,0.22397756375087263,1.0432526275470448,0.17187008142781163
pH4,randomforest,-0.7453581659206827,1.0141215767364469,1.1259871462938276,0.1873079721946581
pH5,lasso,-0.15675170724072052,0.1394173328578652,1.0596604740092288,0.24668625732054875
pH5,ridge,-0.40444896106618355,0.45613140156773135,1.0780815613475436,0.1645850670412773
pH5,svr,-0.26197121321420036,0.32890644854780476,0.9673379334710182,0.22573334862409977
pH5,randomforest,-0.47776313653037106,0.4743881666938573,1.2021241543205166,0.19798695809066927
pH6,lasso,-0.08394474772814302,0.10888290798367048,0.9860543325194528,0.1834870485743241
pH6,ridge,-0.3210252009326191,0.30704653953868727,1.10248500296152,0.16353183045565076
pH6,svr,-0.34320362745692173,0.5831602619397175,1.0963957242806759,0.17285298365171278
pH6,randomforest,-0.47647742432926543,0.32070855915190266,1.2252388130759448,0.19532407608108762
pH7,lasso,-0.2369089523862305,0.3536204307572354,1.0080473520198443,0.23297252862089832
pH7,ridge,-0.4197140883150962,0.4519395323842538,1.1155560599428982,0.20768766508216127
pH7,svr,-0.3522716937492934,0.4394186726424257,1.01967962212129,0.2708268848950494
pH7,randomforest,-0.39331092201087064,0.20522619991766944,1.0965380144516428,0.19778911380134045
Solubility,lasso,-0.18460385482436323,0.41005752965726733,1.027148450733602,0.11048629191435966
Solubility,ridge,-0.009218211561959478,0.17507269228284544,0.9607912120241288,0.09909717454241916
Solubility,svr,-0.3067256610891444,0.5255552483685338,1.0900160578084013,0.22137686685348662
Solubility,randomforest,-0.2194644205820424,0.5051483575783118,1.0372712975092484,0.1380166717315679
Legumin A2 (P15838),lasso,-0.1710803022445019,0.5933996438347313,1.0139928908374067,0.15260082161599078
