Chemical,Model,Mean_R2,Std_R2,Mean_RMSE,Std_RMSE
TKV,lasso,0.6009217629678828,0.19088908658584752,45.11906482707021,11.993747293055836
TKV,ridge,0.5243949039648556,0.2668328222842562,45.85152378754273,11.86636797336595
TKV,svr,0.23490827582476098,0.1807060275987182,62.60118615281074,16.675013338884895
TKV,randomforest,0.34675816870044235,0.4027974331803401,51.4505584702517,13.49263559163562
Starch content,lasso,0.03928912709670571,0.5534065572829677,5.225740100641284,1.0057598369424978
Starch content,ridge,0.19694189777666019,0.3825895115810965,5.102716444436128,1.033254159026103
Starch content,svr,-0.20057922633818986,0.47727371650934325,6.046797394179156,1.1472050496448218
Starch content,randomforest,0.014463407378716797,0.6848900920185435,5.199078013962938,1.5571427291236863
Cristilinity,lasso,-0.23900335784053556,0.449498148950264,1.2338838199570064,0.18734341795573642
Cristilinity,ridge,-0.42819094064479113,0.543531442776531,1.2298326786557907,0.24162963773684767
Cristilinity,svr,-0.24054905850963665,0.46531305609519824,1.2581382061567004,0.18277823605669746
Cristilinity,randomforest,-0.5044989588407628,0.7315670428426484,1.1173856349308995,0.1846101548665904
Protein content,lasso,-0.12595621882926006,0.26397024872734265,2.696951734882875,0.6900220631306607
Protein content,ridge,-0.32474621016850913,0.7565027166405193,2.9951221460271635,0.6764164251619449
Protein content,svr,-0.17171822506032972,0.376523449233659,2.6862394922581094,0.7556771300970531
Protein content,randomforest,-0.3805178422350777,0.5884051072378492,2.978310368480938,0.6802599507674276
Other components,lasso,-0.076112079206753,0.8987662219643949,4.857851271171983,0.8141357915537263
Other components,ridge,0.0717845118176619,0.6161075857776392,4.633967161145143,1.0434617845535354
Other components,svr,-0.1420785890667018,0.5466999643253964,5.438042385966045,1.2053248411518627
Other components,randomforest,0.08226449849489059,0.5260961620201411,4.772490063947702,1.2187757342397083
Isoelectic point,lasso,-0.1353664410479859,0.18462623428898137,0.2604171593038224,0.03587925319739561
Isoelectic point,ridge,-0.3800214989716248,0.38533674106040977,0.27696844002429827,0.04489192996078248
Isoelectic point,svr,-0.21221242051499836,0.23245447751645568,0.26944327124991274,0.03740931444988858
Isoelectic point,randomforest,-0.5768637792147833,0.2548456904894704,0.3006477903871907,0.04348160394837099
pH3,lasso,-0.16684676571714027,0.19159919023792304,1.8802711757585393,0.4121771423384773
pH3,ridge,-0.3964562271493991,0.4145997539834242,1.9977741224230403,0.46154580336091067
pH3,svr,-0.22896579002519984,0.28147763825644084,1.912709956591889,0.3906948420916502
pH3,randomforest,-0.527092969523242,1.000440293990223,1.9727832650671075,0.2663853692823724
pH4,lasso,-0.1396197386947677,0.1576671893250387,1.7338929139403068,0.3483875356719348
pH4,ridge,-0.38532163233944006,0.3642940488848592,1.800679513298461,0.3371218160446329
pH4,svr,-0.15687957616760326,0.23707848407739526,1.732223238130746,0.36944657140753284
pH4,randomforest,-0.8549726155871291,1.0584997797669087,1.9759571576705632,0.2820804411359595
pH5,lasso,-0.16629699728341915,0.18416315870246933,0.8829797097049836,0.22610211684603343
pH5,ridge,-0.25327988259124157,0.2987354209160605,0.8604366639853582,0.19762688597876965
pH5,svr,-0.15865956529884157,0.15328419421675105,0.8850279220475861,0.22426880228317897
pH5,randomforest,-0.6127653986642045,0.6036639592144428,1.0565415183090736,0.1310249484841199
pH6,lasso,-0.10467288203622742,0.181100855722067,1.793016214932702,0.33048315747327756
pH6,ridge,-0.1964738009934456,0.2298325034100883,1.7905539544451543,0.25170913616003193
pH6,svr,-0.23792509307725376,0.2851546010278849,1.8869772313552189,0.34184432503699663
pH6,randomforest,-0.768982279845245,0.5311520013655867,1.9417254078233808,0.2649493338692717
pH7,lasso,-0.14896256616504094,0.14283389586825018,1.7043968055810246,0.40202094114428927
pH7,ridge,-0.24473064806398748,0.31846829801925025,1.8132292511883183,0.3710989404978295
pH7,svr,-0.17702009974328164,0.2766832747874721,1.6610846212187256,0.37587267043378864
pH7,randomforest,-0.5203669295772595,0.5656363431631349,1.9518538582949625,0.3784324695607149
Solubility,lasso,-0.11453435088937007,0.2486107213113841,3.628087685340237,0.6280043219774168
Solubility,ridge,-0.10852550757176313,0.43934632699779463,3.5417610999575673,0.4604404267761429
Solubility,svr,-0.1659448732152712,0.3089232730411944,3.6701933540608707,0.7118631621816475
Solubility,randomforest,-0.12130157031769435,0.39388207527690167,3.5671918818549786,0.5219513145256282
Legumin A2 (P15838),lasso,-0.35981690437278674,0.4554575798748545,51232820.243487194,6470506.877779581
Legumin A2 (P15838),ridge,-0.09291964053149207,0.3000790914501271,44623782.599381804,7106203.233000414
Legumin A2 (P15838),svr,-0.11556165340967177,0.284648898401768,46978270.06268977,6307063.8488086
Legumin A2 (P15838),randomforest,-0.2627087499855597,0.47129638699358095,48011112.36195635,8725508.629472876
Legumin A (P02857),lasso,-0.44892130614052317,0.5908438357872915,5505089.971518148,944465.5759977233
Legumin A (P02857),ridge,-0.13886109008759762,0.24165332651323246,4850529.358431807,713545.2492649867
Legumin A (P02857),svr,-0.1893493214476119,0.2694517325101753,5151197.8700837325,1033484.2155991263
